Код клиента	Возраст	Пол	Сколько лет клиент	Количество позиций товаров	Доход с клиента, тыс. ед.	Общее число покупок	Обращений в службу поддержки	Задержки платежей	Дисконтная карта	Дата отклика	Отклик
53806	48	женский	4	1	52,16	1	1	1	0		0
53815	42	мужской	1	1	52,24	1	1	1	0		0
53821	41	женский	4	1	52,28	15	3	1	1		0
53823	35	женский	3	3	52,29	18	3	1	0		0
53842	45	женский	3	1	52,28	1	3	1	0		0
53864	27	женский	0	1	52,3	1	2	1	0		0
53881	45	мужской	2	1	52,32	15	2	1	0	09.07.2006	1
53884	32	мужской	1	1	52,33	1	2	1	0		0
53890	38	женский	4	1	52,26	1	2	1	0		0
53894	37	женский	2	1	52,26	1	2	1	0		0
53905	63	мужской	3	4	52,29	2	2	1	0		0
53911	36	мужской	2	2	52,34	1	2	1	0		0
53913	55	мужской	2	1	52,25	14	2	1	0		0
53920	40	женский	1	1	52,35	1	1	1	0		0
53932	29	женский	2	1	52,37	1	0	1	0		0
53945	26	мужской	2	1	52,37	1	5	1	0		0
53947	67	мужской	2	4	52,38	2	3	1	0		0
53956	25	женский	3	4	52,39	1	2	1	0		0
53984	35	мужской	3	1	52,37	1	1	1	0		0
53985	42	мужской	0	2	52,41	1	3	1	0		0
53995	38	мужской	4	1	52,44	1	1	1	0		0
54005	20	женский	3	1	52,41	1	3	1	0		0
54008	41	мужской	2	1	52,44	1	1	1	0		0
54011	47	мужской	0	1	52,44	1	1	1	0		0
54013	35	женский	0	1	52,45	1	3	1	0		0
54021	22	женский	3	1	52,4	1	4	1	0		0
54022	32	женский	4	1	52,41	1	3	1	0		0
54027	20	мужской	2	4	52,38	3	0	1	0		0
54031	19	мужской	3	3	52,44	1	4	1	0		0
54049	58	мужской	0	1	52,47	1	3	1	0		0
54076	41	женский	1	4	52,53	2	4	1	0		0
54081	32	мужской	1	2	52,53	1	2	1	0		0
54082	40	женский	4	4	52,51	3	2	1	0	14.07.2006	1
54091	43	женский	4	2	52,55	1	3	1	0		0
54101	28	мужской	4	2	52,53	1	3	1	0		0
54107	63	женский	2	1	52,51	1	3	1	0		0
54110	74	мужской	3	4	52,48	1	5	1	0		0
54112	45	женский	1	1	52,49	1	2	1	0		0
54116	30	женский	2	1	52,53	1	5	1	0		0
54126	39	мужской	1	4	52,55	2	1	1	0		0
54130	53	женский	3	2	52,49	1	4	1	0		0
54133	42	женский	1	4	52,5	2	3	1	0		0
54143	66	мужской	1	4	52,51	3	0	1	0		0
54151	33	мужской	4	2	52,45	2	5	1	0		0
54155	79	женский	3	1	52,53	1	2	1	0		0
54157	10	женский	3	4	52,49	2	0	1	0		0
54159	16	мужской	1	1	52,46	1	2	1	0		0
54166	38	мужской	1	1	52,51	1	0	1	0		0
54186	33	мужской	4	3	52,51	1	5	1	0		0
54189	31	мужской	3	3	52,51	1	3	1	0	09.07.2006	1
54203	36	мужской	3	1	52,5	1	9	1	0		0
54234	44	мужской	3	1	52,49	24	2	1	0	17.07.2006	1
54258	57	мужской	2	1	52,49	1	3	1	0		0
54260	38	женский	3	1	52,49	1	0	1	0		0
54283	22	мужской	3	1	52,53	1	4	1	0		0
54290	43	мужской	0	1	52,48	1	3	1	0		0
54309	41	женский	4	1	52,51	1	3	1	0		0
54329	43	мужской	0	1	52,53	1	2	1	0		0
54330	49	женский	3	6	52,53	19	2	1	0		0
54337	38	женский	2	2	52,47	1	2	1	0		0
54338	45	женский	2	1	52,47	1	2	1	0		0
54342	37	мужской	3	3	52,53	1	3	1	0		0
54358	29	мужской	2	1	52,52	1	3	1	0		0
54361	17	женский	2	1	52,48	1	2	1	0		0
54364	61	мужской	4	1	52,54	1	0	1	1		0
54368	35	женский	0	1	52,55	1	2	1	0		0
54378	53	женский	3	1	52,46	1	1	1	0		0
54379	40	мужской	1	2	52,47	1	3	1	0		0
54406	39	женский	3	3	52,48	3	1	0	0	06.07.2006	1
54412	41	мужской	2	1	52,53	1	1	1	0		0
54420	45	мужской	0	1	52,51	1	1	1	0		0
54422	32	женский	4	1	52,54	1	1	1	0		0
54427	38	женский	1	3	52,47	2	3	1	0		0
54461	29	мужской	1	6	52,49	3	2	1	0	21.07.2006	1
54473	33	мужской	2	1	52,63	1	0	1	0		0
54483	51	женский	4	1	52,57	1	4	1	0		0
54495	36	мужской	3	6	52,63	3	3	1	0	17.07.2006	1
54501	18	женский	1	1	52,58	1	7	1	0		0
54507	38	мужской	2	1	52,6	1	1	1	0		0
54509	47	мужской	4	1	52,62	1	3	1	0		0
54531	31	женский	2	3	52,57	3	4	1	0		0
54533	58	мужской	3	2	52,58	1	0	1	1		0
54542	51	мужской	1	2	52,57	1	2	1	0		0
54562	35	женский	2	1	52,61	1	2	1	0		0
54566	51	мужской	2	3	52,63	2	3	1	0		0
54569	51	женский	0	1	52,55	1	4	1	0		0
54577	55	мужской	3	1	52,62	1	1	1	0		0
54580	27	женский	3	1	52,61	1	0	1	0		0
54584	35	женский	0	1	52,63	1	3	1	0		0
54603	48	мужской	2	1	52,58	1	0	1	0		0
54607	45	мужской	3	1	52,63	1	2	1	0		0
54620	57	женский	3	4	52,59	3	2	1	0		0
54635	60	женский	3	1	52,58	1	3	1	1		0
54641	22	мужской	1	2	52,59	1	5	1	0		0
54658	38	женский	2	4	52,57	2	7	1	0		0
54681	28	мужской	2	1	52,62	1	0	1	0		0
54689	31	мужской	1	1	52,55	1	1	1	0		0
54701	40	женский	1	1	52,57	1	1	1	0		0
54708	44	мужской	3	1	52,59	1	1	1	0		0
54711	39	женский	0	1	52,59	1	2	1	0		0
54716	44	женский	2	1	52,65	1	2	1	0		0
54717	45	мужской	3	2	52,57	2	4	1	0	07.07.2006	1
54722	41	женский	3	1	52,56	1	0	1	0		0
54728	46	женский	2	2	52,57	2	2	1	0		0
54731	36	мужской	1	5	52,64	2	5	1	0		0
54746	37	женский	3	1	52,63	1	1	1	0		0
54747	24	мужской	3	1	52,56	13	2	1	0	27.07.2006	1
54754	51	женский	3	1	52,63	1	4	1	0		0
54762	40	мужской	2	3	52,57	2	4	1	1		0
54768	44	женский	2	3	52,56	2	2	1	0		0
54775	43	мужской	4	1	52,6	1	2	1	0		0
54778	31	мужской	2	1	52,6	1	1	1	0		0
54802	26	женский	2	5	52,64	3	0	1	0	29.07.2006	1
54803	34	мужской	3	2	52,64	1	0	1	0		0
54810	26	мужской	4	4	52,58	1	5	1	0		0
54818	36	мужской	4	1	52,59	1	3	1	0		0
54824	34	мужской	2	5	52,63	3	4	1	0		0
54826	53	мужской	2	2	52,6	1	2	1	0		0
54839	45	мужской	2	1	52,65	1	2	1	0		0
54848	39	мужской	4	1	52,63	1	1	1	0		0
54850	29	мужской	0	4	52,56	1	4	1	0		0
54852	31	мужской	2	1	52,56	1	4	1	0		0
54855	39	женский	2	1	52,62	1	0	1	0		0
54859	45	мужской	3	1	52,56	1	6	1	0		0
54865	41	женский	2	3	52,61	2	5	1	0		0
54866	47	мужской	3	1	52,56	1	1	1	0		0
54871	40	мужской	3	3	52,64	3	3	1	0		0
54882	19	женский	1	2	52,63	1	1	1	0		0
54883	47	мужской	1	1	52,63	1	1	1	0		0
54895	41	женский	3	1	52,55	1	1	1	0		0
54901	32	мужской	2	1	52,61	1	0	1	0		0
54903	40	женский	3	1	52,56	1	1	1	0		0
54915	30	женский	1	1	52,59	1	0	1	0		0
54934	39	мужской	0	1	52,59	1	2	1	0		0
54936	34	мужской	3	3	52,55	1	0	1	0		0
54937	32	женский	3	4	52,55	3	0	1	1		0
54944	39	женский	1	1	52,61	1	4	1	0		0
54962	35	женский	3	4	52,57	1	1	1	1		0
54966	43	мужской	2	1	52,64	1	0	1	0		0
54986	40	женский	0	1	52,59	1	0	1	0		0
54997	33	женский	1	1	52,58	1	3	1	0		0
54999	27	мужской	2	1	52,58	1	4	1	0		0
55034	35	мужской	3	1	52,63	1	4	1	0		0
55037	36	женский	3	1	52,6	1	1	1	0		0
55050	27	мужской	4	2	52,75	1	2	1	0		0
55063	50	мужской	2	2	52,74	1	2	1	0		0
55070	29	женский	3	1	52,67	1	3	1	0		0
55085	44	женский	4	1	52,72	1	2	1	0		0
55099	52	женский	3	2	52,7	2	0	1	0		0
55112	56	мужской	1	1	52,68	1	0	1	0		0
55125	28	мужской	1	1	52,72	1	3	1	0		0
55148	37	женский	3	3	52,72	25	2	1	0	16.07.2006	1
55153	47	женский	2	6	52,66	4	0	1	0	13.07.2006	1
55155	54	мужской	4	2	52,73	9	2	1	0		0
55156	34	мужской	3	1	52,74	1	0	1	0		0
55157	38	мужской	4	4	52,74	1	0	1	1		0
55160	28	женский	2	4	52,72	3	1	1	0		0
55164	46	мужской	4	1	52,68	1	2	1	0	16.07.2006	1
55184	47	мужской	2	2	52,65	2	2	1	0		0
55207	32	мужской	3	1	52,66	1	1	1	0		0
55210	30	женский	0	1	52,75	1	0	1	0		0
55222	67	женский	0	1	52,69	1	0	1	0		0
55224	60	женский	2	1	52,69	1	1	1	0		0
55228	33	женский	2	1	52,67	1	5	1	0		0
55234	41	женский	4	1	52,69	1	1	1	0		0
55235	26	женский	3	1	52,68	1	4	1	0		0
55253	41	женский	3	1	52,67	1	0	1	0		0
55261	38	женский	1	1	52,67	1	0	1	0		0
55271	44	женский	1	1	52,72	1	2	1	0		0
55273	45	женский	2	1	52,67	1	2	1	0		0
55279	24	мужской	0	1	52,69	1	0	1	0		0
55281	36	мужской	2	2	52,8	1	3	1	0		0
55287	48	мужской	4	1	52,83	1	3	1	0		0
55289	32	мужской	2	1	52,8	1	2	1	0		0
55291	40	женский	3	1	52,76	7	5	1	0		0
55292	21	женский	1	1	52,85	1	4	1	0		0
55297	28	мужской	3	1	52,82	1	1	1	0		0
55299	25	женский	3	5	52,75	23	3	1	0		0
55304	35	мужской	0	1	52,85	1	1	1	0		0
55305	20	женский	4	1	52,8	1	3	1	0		0
55314	26	женский	2	5	52,85	2	2	1	0	05.07.2006	1
55327	31	женский	1	2	52,81	1	3	1	0		0
55348	36	мужской	2	1	52,83	1	0	1	0		0
55357	36	женский	2	1	52,81	1	0	1	0		0
55366	48	мужской	0	1	52,76	1	3	1	0		0
55367	29	женский	4	1	52,79	1	1	1	0		0
55376	32	мужской	3	2	52,8	1	1	1	0		0
55390	45	женский	3	4	52,8	2	2	1	0		0
55410	37	женский	4	3	52,8	1	1	1	0		0
55412	33	мужской	3	1	52,8	1	1	1	0		0
55414	39	мужской	2	1	52,78	1	3	1	0		0
55432	33	мужской	0	1	52,88	1	1	1	0		0
55439	18	мужской	3	5	52,9	2	1	1	0		0
55442	40	женский	3	1	52,92	1	2	1	0		0
55454	36	женский	3	3	52,97	22	0	1	0	10.07.2006	1
55465	26	женский	1	1	53,09	1	5	1	0		0
55472	55	мужской	4	2	53,11	1	2	1	0		0
55481	50	женский	3	2	53,12	1	3	1	0	02.07.2006	1
55522	66	мужской	1	2	53,06	1	2	1	0		0
55529	43	мужской	1	1	53,1	1	2	1	0		0
55531	46	мужской	3	4	53,1	2	1	1	0		0
55559	37	мужской	2	5	53,17	3	8	1	0		0
55563	42	мужской	2	4	53,19	3	1	1	0		0
55566	32	женский	4	3	53,19	29	4	1	0		0
55570	64	мужской	4	4	53,2	3	0	1	0		0
55573	50	мужской	3	1	53,24	16	2	1	0	11.07.2006	1
55614	41	мужской	3	2	53,2	2	3	1	0		0
55616	25	мужской	3	1	53,16	1	3	1	0		0
55627	40	мужской	3	1	53,19	1	3	1	0		0
55635	44	мужской	4	4	53,23	2	2	1	0	05.07.2006	1
55636	48	мужской	1	1	53,23	1	2	1	0		0
55651	31	женский	4	2	53,22	1	0	1	0	04.07.2006	1
55652	31	мужской	2	1	53,22	1	0	1	0		0
55657	11	женский	3	1	53,16	1	3	1	0		0
55670	42	женский	3	4	53,18	2	2	1	0		0
55672	44	женский	2	1	53,2	1	2	1	0		0
55682	29	мужской	1	1	53,21	1	2	1	0		0
55693	31	женский	2	3	53,22	2	4	1	0		0
55698	44	мужской	1	4	53,16	1	0	1	0		0
55704	37	мужской	3	4	53,23	1	0	1	0		0
55713	40	женский	4	1	53,19	1	2	1	0		0
55722	37	мужской	3	2	53,19	1	0	1	0	05.07.2006	1
55728	27	женский	3	1	53,18	1	1	1	0		0
55731	25	мужской	3	1	53,2	1	0	1	0		0
55737	48	женский	3	3	53,2	1	4	1	1		0
55742	46	мужской	2	4	53,18	1	0	1	0		0
55753	40	женский	2	2	53,21	1	3	1	0		0
55763	54	женский	3	1	53,2	1	4	1	0		0
55764	50	женский	1	1	53,18	1	2	1	0		0
55767	21	мужской	2	3	53,22	1	1	1	0		0
55775	32	женский	3	1	53,16	1	2	1	0		0
55787	37	мужской	2	4	53,21	1	1	1	0		0
55791	62	мужской	3	1	53,24	1	2	1	0		0
55798	45	мужской	2	1	53,23	1	4	1	0		0
55805	21	мужской	4	3	53,22	2	1	1	0		0
55807	42	мужской	3	1	53,22	1	2	1	0		0
55811	52	женский	2	1	53,19	1	0	1	0		0
55813	38	мужской	0	1	53,24	1	3	1	0		0
55815	35	женский	1	1	53,21	1	3	1	0		0
55820	44	мужской	3	3	53,19	1	1	1	0		0
55822	39	женский	3	1	53,15	1	1	1	0		0
55836	45	женский	0	1	53,2	1	0	1	0		0
55839	52	мужской	3	2	53,17	2	1	1	0		0
55846	54	мужской	0	1	53,22	1	2	1	0		0
55848	53	мужской	0	1	53,16	1	3	1	0		0
55851	38	женский	2	3	53,16	1	4	1	0	22.07.2006	1
55853	60	мужской	2	1	53,17	1	1	1	0		0
55858	31	мужской	3	5	53,19	21	2	1	0		0
55859	40	мужской	3	1	53,19	1	2	1	0		0
55870	29	мужской	2	5	53,22	2	0	1	0		0
55877	25	женский	2	1	53,16	1	2	1	0		0
55886	27	мужской	1	2	53,15	1	2	1	0		0
55946	37	мужской	1	1	53,19	1	1	1	0		0
55949	37	женский	0	1	53,23	1	1	1	0		0
55953	49	женский	1	5	53,17	2	5	1	1		0
55955	42	мужской	2	1	53,15	1	0	1	0		0
55956	23	женский	2	1	53,15	10	0	1	0		0
55959	27	женский	4	2	53,17	1	2	1	0		0
55960	58	мужской	0	1	53,17	1	2	1	0		0
55972	20	мужской	2	1	53,23	1	2	1	0		0
55975	33	женский	0	1	53,19	1	2	1	0		0
55980	66	мужской	2	1	53,15	1	5	1	0		0
55989	47	мужской	2	2	53,22	2	3	1	0	08.07.2006	1
56025	53	мужской	1	1	53,22	27	4	1	0	29.07.2006	1
56041	42	мужской	1	1	53,18	1	3	1	0		0
56051	39	мужской	2	1	53,22	1	2	1	0		0
56061	52	мужской	2	2	53,22	1	3	1	0		0
56071	50	мужской	3	3	53,22	1	2	1	0	18.07.2006	1
56072	16	мужской	2	1	53,18	1	3	1	0		0
56075	26	мужской	3	3	53,16	1	3	1	0		0
56084	31	женский	2	1	53,15	1	0	1	0		0
56085	42	женский	0	1	53,16	1	1	1	0		0
56086	37	мужской	0	1	53,18	1	0	1	0		0
56091	33	женский	1	1	53,22	1	0	1	0		0
56103	39	женский	3	1	53,21	1	2	1	0		0
56119	52	мужской	0	1	53,15	1	1	1	0		0
56120	48	женский	3	1	53,16	1	1	1	0		0
56121	60	женский	4	4	53,16	2	1	1	0		0
56125	30	женский	4	1	53,2	1	0	1	0		0
56132	44	женский	2	1	53,17	1	0	1	0		0
56135	26	мужской	3	1	53,2	1	2	1	0		0
56145	34	женский	3	1	53,18	1	3	1	0		0
56169	20	женский	0	1	53,15	1	2	1	0		0
56170	51	мужской	2	2	53,15	1	2	1	0		0
56179	45	мужской	3	1	53,18	1	5	1	0		0
56181	16	мужской	2	1	53,18	1	5	1	0		0
56191	30	мужской	1	1	53,25	1	4	1	0		0
56197	33	женский	4	1	53,17	1	2	1	0		0
56201	42	мужской	4	2	53,23	1	3	1	0		0
56218	51	женский	4	1	53,26	1	1	1	1		0
56230	45	женский	4	1	53,31	1	2	1	0		0
56238	33	женский	2	2	53,3	1	4	1	0		0
56239	52	женский	3	1	53,32	1	1	1	0		0
56242	54	женский	0	1	53,33	1	4	1	0		0
56243	52	женский	1	3	53,33	6	4	1	0	28.07.2006	1
56249	36	женский	2	4	53,34	3	1	1	0		0
56264	48	женский	0	1	53,26	1	2	1	0		0
56266	57	женский	0	1	53,35	1	3	1	0		0
56282	37	мужской	0	1	53,31	1	2	1	0		0
56306	43	женский	2	1	53,3	1	4	1	0		0
56311	44	женский	2	1	53,25	1	1	1	0		0
56318	20	женский	2	1	53,34	1	4	1	0		0
56334	43	женский	2	1	53,31	1	1	1	0		0
56342	38	женский	0	1	53,34	1	2	1	0		0
56350	20	женский	2	1	53,32	1	1	1	0		0
56367	42	мужской	3	1	53,36	1	4	1	0		0
56372	34	женский	2	5	53,44	2	2	1	0		0
56376	21	женский	2	1	53,37	1	1	1	0		0
56386	10	женский	3	1	53,42	1	0	1	0		0
56397	49	женский	2	2	53,39	1	1	1	0	13.07.2006	1
56408	27	женский	3	1	53,38	1	1	1	0		0
56411	49	мужской	4	1	53,41	1	3	1	0		0
56420	43	женский	3	1	53,37	1	3	1	0		0
56438	45	женский	2	1	53,39	1	4	1	0		0
56457	42	женский	0	1	53,38	1	4	1	0		0
56459	63	женский	2	1	53,42	1	2	1	0		0
56461	38	женский	3	3	53,44	2	1	1	0	19.07.2006	1
56468	48	мужской	4	1	53,36	1	3	1	0		0
56473	32	мужской	3	1	53,4	2	3	1	0		0
56489	32	женский	3	5	53,42	27	3	1	0		0
56497	52	мужской	2	1	53,35	1	3	1	0		0
56499	35	женский	2	1	53,35	1	3	1	0		0
56503	44	женский	3	1	53,42	1	4	1	0		0
56511	42	женский	2	1	53,43	1	5	1	0		0
56514	34	мужской	1	1	53,43	1	5	1	0		0
56523	57	мужской	1	1	53,36	27	2	1	0		0
56527	48	мужской	0	1	53,38	1	4	1	0		0
56533	40	мужской	3	1	53,44	1	3	1	0		0
56534	47	женский	3	1	53,44	1	3	1	0		0
56535	53	женский	0	2	53,44	1	3	1	0		0
56536	63	женский	0	2	53,42	1	5	1	0		0
56538	38	женский	4	1	53,4	1	8	1	0		0
56548	47	женский	3	1	53,42	1	4	1	0		0
56555	47	мужской	2	1	53,44	1	5	1	0		0
56558	36	женский	1	1	53,37	1	2	1	0		0
56571	46	женский	2	1	53,43	1	0	1	0		0
56585	40	женский	2	1	53,37	1	0	1	0		0
56601	33	мужской	3	1	53,45	1	2	1	0		0
56610	55	женский	1	2	53,4	1	4	1	0		0
56612	36	мужской	3	4	53,35	2	2	1	1		0
56614	46	мужской	2	2	53,39	22	1	1	0	16.07.2006	1
56624	46	женский	1	2	53,43	2	3	1	0		0
56634	33	женский	3	1	53,45	1	3	1	0		0
56639	29	женский	2	2	53,4	1	1	1	0		0
56642	22	женский	2	1	53,43	1	1	1	0		0
56643	48	мужской	3	1	53,43	1	3	1	0		0
56651	29	женский	2	1	53,42	1	4	1	0		0
56658	30	женский	2	4	53,39	2	4	1	0	20.07.2006	1
56680	76	мужской	3	1	53,4	1	3	1	0		0
56689	39	мужской	2	1	53,36	1	0	1	0		0
56692	39	женский	2	1	53,35	1	4	1	0		0
56717	76	женский	3	1	53,4	1	3	1	1		0
56723	39	мужской	1	1	53,45	1	0	1	0		0
56730	33	мужской	4	1	53,48	1	2	1	0		0
56736	29	мужской	2	1	53,52	1	3	1	0		0
56742	30	мужской	0	1	53,48	1	3	1	0		0
56745	47	мужской	3	1	53,47	2	1	1	0		0
56755	44	женский	2	3	53,52	3	1	1	0		0
56762	24	женский	1	1	53,49	1	2	1	0		0
56766	32	женский	2	1	53,51	1	5	1	0		0
56767	37	женский	1	4	53,5	2	1	1	0		0
56772	35	мужской	2	1	53,58	1	3	1	0		0
56774	27	мужской	3	1	53,63	1	2	1	0		0
56784	46	мужской	0	1	53,59	1	1	1	0		0
56787	26	женский	2	1	53,58	1	2	1	0		0
56799	47	женский	3	2	53,62	1	3	1	0		0
56807	23	мужской	0	1	53,57	1	2	1	0		0
56811	38	мужской	4	1	53,56	1	1	1	0		0
56822	37	женский	2	1	53,55	1	6	1	0		0
56823	32	мужской	3	1	53,56	1	2	1	0		0
56828	41	мужской	3	1	53,59	1	2	1	0		0
56830	64	женский	3	1	53,6	1	1	1	0		0
56831	37	мужской	3	4	53,63	2	1	1	0		0
56837	38	женский	1	1	53,62	1	2	1	0		0
56867	42	мужской	1	1	53,58	1	3	1	0		0
56876	63	мужской	3	4	53,59	1	1	1	0		0
56886	45	женский	2	1	53,58	1	1	1	0		0
56888	37	мужской	1	2	53,62	2	6	1	0		0
56896	45	женский	1	3	53,62	1	1	1	0		0
56902	36	женский	0	1	53,59	1	2	1	0		0
56926	65	мужской	1	1	53,61	1	1	1	0		0
56937	54	женский	3	4	53,58	9	0	1	0		0
