Код клиента	Возраст	Пол	Сколько лет клиент	Количество позиций товаров	Доход с клиента, тыс. ед.	Общее число покупок	Обращений в службу поддержки	Задержки платежей	Дисконтная карта	Дата отклика	Отклик
54141	39	женский	2	5	52,48	2	4	1	0		0
54142	46	мужской	3	1	52,46	1	0	1	0		0
54173	33	женский	2	1	52,53	1	4	1	0		0
54180	27	женский	3	1	52,48	1	6	1	0		0
54182	25	мужской	3	1	52,47	1	2	1	0		0
54214	42	мужской	1	2	52,52	1	3	1	0	02.07.2006	1
54247	38	женский	3	5	52,51	3	0	1	0		0
54257	39	мужской	4	1	52,49	1	3	1	0		0
54268	29	мужской	2	1	52,47	1	3	1	0		0
54270	78	мужской	3	1	52,49	1	0	1	0		0
54271	43	мужской	1	1	52,47	1	2	1	0		0
54300	44	женский	1	4	52,5	2	0	1	0		0
54314	39	мужской	3	2	52,51	1	7	1	0		0
54333	53	мужской	4	1	52,54	1	0	1	0		0
54350	80	женский	3	1	52,49	1	4	1	0		0
54359	33	женский	4	3	52,53	1	1	1	1		0
54360	45	мужской	1	5	52,53	3	1	1	0		0
54373	37	мужской	2	1	52,55	1	1	1	0		0
54382	38	мужской	2	1	52,48	15	2	1	0	24.07.2006	1
54384	50	мужской	1	4	52,52	3	1	1	0		0
54410	23	женский	4	1	52,47	1	2	1	0		0
54418	47	женский	0	1	52,51	1	6	1	0		0
54442	33	женский	0	2	52,47	1	2	1	0		0
54445	49	женский	0	1	52,52	1	1	1	0		0
54447	39	женский	3	1	52,52	1	2	1	0		0
54472	24	мужской	1	2	52,53	1	1	1	1		0
54488	46	мужской	1	1	52,65	1	2	1	0		0
54508	20	мужской	2	3	52,62	2	3	1	0		0
54513	45	женский	2	1	52,65	1	0	1	0		0
54520	24	женский	2	4	52,56	15	0	1	0	01.07.2006	1
54526	36	женский	3	1	52,55	1	3	1	0		0
54551	27	женский	1	1	52,56	1	2	1	0		0
54571	36	мужской	1	1	52,55	1	4	1	0		0
54578	37	мужской	1	1	52,64	1	2	1	0		0
54594	42	мужской	1	2	52,63	1	3	1	0		0
54610	42	женский	3	1	52,62	1	6	1	0		0
54636	57	мужской	3	3	52,58	1	3	1	0	21.07.2006	1
54660	42	женский	0	1	52,6	1	2	1	0		0
54663	36	женский	2	1	52,56	23	2	1	0	28.07.2006	1
54665	35	мужской	2	1	52,61	1	2	1	0		0
54668	48	женский	2	2	52,62	1	4	1	0		0
54692	61	женский	2	1	52,61	1	0	1	0		0
54700	21	мужской	3	4	52,57	3	1	1	0		0
54709	43	женский	2	1	52,61	1	4	1	0		0
54753	27	женский	2	1	52,57	1	3	1	0		0
54774	31	женский	2	3	52,6	1	2	1	0		0
54782	69	мужской	2	1	52,57	1	4	1	0		0
54795	38	мужской	2	1	52,58	1	6	1	0		0
54806	48	мужской	4	4	52,63	3	1	1	0		0
54837	40	женский	3	1	52,62	1	2	1	0		0
54856	28	женский	1	4	52,62	1	0	1	0	23.07.2006	1
54880	49	мужской	2	4	52,58	1	5	1	0		0
54914	26	мужской	2	1	52,55	18	3	1	0	29.07.2006	1
54916	35	женский	4	1	52,61	1	2	1	0		0
54924	40	женский	1	1	52,64	1	4	1	0		0
54939	44	мужской	4	3	52,55	1	0	1	0		0
54940	43	мужской	2	1	52,59	1	0	1	0		0
54949	39	женский	3	1	52,56	1	1	1	0		0
54954	35	женский	3	4	52,6	3	2	1	0		0
54956	34	женский	0	1	52,6	1	6	1	0		0
54963	49	женский	2	4	52,62	9	1	1	0		0
54969	18	женский	3	1	52,63	1	1	1	0		0
54984	48	мужской	1	3	52,63	3	4	1	0	14.07.2006	1
54988	41	мужской	3	1	52,61	1	3	1	0		0
54989	50	мужской	2	3	52,61	2	3	1	0		0
55026	37	мужской	3	1	52,65	1	1	1	0		0
55047	41	мужской	2	1	52,73	1	1	1	0		0
55071	72	женский	1	1	52,72	7	0	1	0	31.07.2006	1
55075	39	женский	3	2	52,73	1	1	1	0		0
55091	29	мужской	2	1	52,68	1	5	1	0		0
55101	30	женский	4	1	52,66	1	1	1	0		0
55114	34	женский	2	2	52,69	26	4	1	0		0
55119	52	мужской	0	1	52,68	1	1	1	0		0
55141	49	мужской	4	1	52,68	1	1	1	0		0
55149	50	женский	3	2	52,72	1	2	1	0		0
55154	40	мужской	2	1	52,7	1	6	1	0		0
55158	33	мужской	0	1	52,75	1	3	1	0		0
55171	28	мужской	2	1	52,74	1	2	1	0		0
55179	29	женский	2	4	52,73	21	7	1	1		0
55190	27	женский	1	2	52,74	1	0	1	0		0
55197	71	женский	2	3	52,72	3	1	1	0		0
55203	29	мужской	1	1	52,7	1	1	1	0		0
55205	56	женский	4	1	52,71	1	1	1	0		0
55216	36	женский	2	3	52,74	2	5	1	1	30.07.2006	1
55219	38	мужской	2	1	52,72	1	4	1	0		0
55225	44	женский	1	1	52,66	1	3	1	0		0
55227	32	женский	3	3	52,67	17	5	1	0	25.07.2006	1
55239	65	женский	2	1	52,69	1	2	1	0		0
55246	17	мужской	4	3	52,74	1	3	1	1		0
55255	26	мужской	3	2	52,66	1	1	1	1	28.07.2006	1
55267	29	мужской	2	1	52,69	1	1	1	0		0
55272	37	женский	3	1	52,71	1	4	1	0		0
55275	43	мужской	2	1	52,67	1	3	1	0		0
55302	45	женский	1	1	52,84	1	4	1	0		0
55315	45	мужской	2	1	52,85	1	2	1	0		0
55316	39	мужской	3	3	52,85	1	2	1	0	12.07.2006	1
55339	38	мужской	2	1	52,76	1	2	1	0		0
55341	31	мужской	1	1	52,8	1	1	1	0		0
55377	45	женский	1	1	52,76	1	1	1	0		0
55402	29	женский	3	1	52,84	1	1	1	0		0
55406	33	женский	1	1	52,76	1	6	1	0		0
55441	53	женский	2	6	52,91	13	2	1	0	26.07.2006	1
55469	27	мужской	4	4	53,09	3	0	1	0		0
55473	33	женский	0	1	53,07	1	4	1	0		0
55519	41	мужской	2	1	53,09	1	5	1	0		0
55528	25	мужской	4	3	53,15	1	1	1	0	20.07.2006	1
55595	47	женский	2	1	53,19	1	1	1	0		0
55598	28	женский	2	1	53,24	1	3	1	0		0
55599	37	женский	2	1	53,24	1	3	1	0		0
55605	14	мужской	3	1	53,18	1	0	1	0		0
55607	31	мужской	3	1	53,18	1	0	1	0		0
55626	26	женский	3	1	53,23	28	0	1	1	17.07.2006	1
55653	46	мужской	3	3	53,2	1	1	1	0		0
55668	45	мужской	0	1	53,18	1	2	1	0		0
55671	38	мужской	1	3	53,23	1	2	1	0		0
55679	52	мужской	2	1	53,25	1	3	1	0		0
55692	33	женский	4	1	53,22	1	4	1	0		0
55696	25	женский	3	1	53,21	1	2	1	0		0
55709	56	женский	3	1	53,2	1	2	1	0	03.07.2006	1
55732	30	мужской	0	1	53,15	1	2	1	0		0
55740	24	мужской	3	4	53,25	1	2	1	0		0
55773	48	женский	1	1	53,17	1	2	1	0		0
55785	29	мужской	3	1	53,23	1	5	1	0		0
55788	26	мужской	0	1	53,21	1	1	1	0		0
55801	26	мужской	3	1	53,24	1	0	1	0	03.07.2006	1
55812	43	мужской	3	1	53,24	1	3	1	0		0
55826	52	мужской	2	5	53,25	2	0	1	0		0
55829	30	мужской	3	4	53,21	2	2	1	0		0
55852	39	мужской	2	1	53,17	1	1	1	0		0
55871	35	женский	2	4	53,15	3	4	1	0		0
55878	35	мужской	3	1	53,18	1	3	1	0		0
55879	40	мужской	4	1	53,18	1	3	1	0		0
55890	36	мужской	3	4	53,18	7	3	1	0	20.07.2006	1
55894	26	мужской	4	3	53,19	2	4	1	1	14.07.2006	1
55895	24	мужской	3	1	53,25	1	3	1	0		0
55918	26	мужской	0	1	53,24	1	3	1	0		0
55921	26	женский	4	1	53,18	1	2	1	0		0
55930	40	женский	2	2	53,18	1	2	1	0		0
55962	29	мужской	1	1	53,23	1	4	1	0		0
55965	38	женский	2	3	53,22	3	1	1	0		0
55973	41	мужской	1	1	53,22	1	2	1	0		0
56018	16	мужской	3	1	53,24	1	2	1	0		0
56028	30	женский	0	1	53,21	1	1	1	0		0
56031	32	женский	1	1	53,17	1	4	1	0		0
56032	70	женский	0	1	53,16	1	2	1	0		0
56067	50	женский	2	1	53,24	1	2	1	0		0
56082	44	мужской	4	1	53,15	1	0	1	0		0
56087	41	женский	3	1	53,18	1	0	1	0		0
56102	43	женский	0	1	53,24	1	0	1	0		0
56112	33	мужской	2	1	53,24	1	4	1	0		0
56113	34	женский	3	2	53,24	1	4	1	0		0
56114	20	женский	3	1	53,18	1	2	1	0		0
56133	53	женский	0	1	53,22	1	1	1	0		0
56134	32	женский	2	2	53,22	1	1	1	0		0
56137	53	мужской	4	5	53,24	23	3	1	0		0
56171	21	мужской	2	1	53,15	1	2	1	0		0
56174	62	женский	3	1	53,16	1	5	1	0		0
56186	44	мужской	4	3	53,23	3	3	1	0		0
56196	43	мужской	2	1	53,22	1	1	1	0		0
56209	38	мужской	1	3	53,21	1	0	1	0		0
56215	45	женский	4	1	53,28	1	2	1	0	18.07.2006	1
56229	45	женский	3	2	53,31	1	2	1	0		0
56233	20	женский	2	5	53,29	2	2	1	1		0
56257	40	женский	0	1	53,27	1	0	1	0		0
56273	34	мужской	2	2	53,33	1	4	1	0		0
56280	32	женский	3	1	53,32	1	3	1	0		0
56295	30	женский	3	1	53,3	1	3	1	0		0
56298	18	мужской	3	4	53,34	2	4	1	0		0
56301	23	мужской	0	1	53,34	1	1	1	0		0
56314	28	женский	2	1	53,26	18	3	1	1		0
56335	33	мужской	1	4	53,31	3	1	1	0		0
56353	43	мужской	2	1	53,28	1	1	1	0		0
56364	30	мужской	3	3	53,37	1	2	1	0	07.07.2006	1
56368	38	женский	1	2	53,38	2	0	1	0		0
56369	32	женский	3	3	53,38	1	2	1	0		0
56377	40	мужской	2	1	53,42	14	4	1	0	11.07.2006	1
56385	45	женский	3	1	53,39	1	0	1	0		0
56392	38	женский	4	2	53,43	16	6	1	0		0
56421	39	мужской	3	4	53,43	2	1	1	1		0
56426	22	женский	3	4	53,39	2	1	1	0	09.07.2006	1
56442	39	женский	2	1	53,4	1	2	1	0		0
56451	40	женский	3	1	53,4	1	2	1	0		0
56453	40	женский	2	3	53,4	3	0	1	0		0
56456	37	мужской	2	5	53,44	17	1	1	0		0
56465	64	женский	2	2	53,42	2	2	1	0	16.07.2006	1
56467	41	женский	2	2	53,43	1	0	1	0	22.07.2006	1
56488	42	мужской	1	1	53,41	1	3	1	0		0
56491	71	мужской	2	1	53,42	1	3	1	0		0
56494	40	женский	2	5	53,4	4	0	1	0		0
56500	35	женский	4	5	53,35	3	3	1	0		0
56505	42	женский	3	1	53,41	1	3	1	0		0
56510	51	женский	3	1	53,37	1	0	1	0		0
56564	44	женский	3	1	53,43	1	0	1	0		0
56579	30	женский	1	2	53,42	1	2	1	0	21.07.2006	1
56597	36	женский	3	1	53,42	1	3	1	0		0
56608	19	мужской	3	1	53,43	1	0	1	0		0
56622	62	женский	1	5	53,42	3	2	1	0		0
56638	44	женский	0	1	53,39	1	0	0	0		0
56646	38	мужской	2	1	53,4	1	2	1	0		0
56657	27	женский	1	1	53,45	1	5	1	0		0
56673	32	мужской	1	3	53,39	2	3	1	1		0
56691	63	женский	2	2	53,37	1	0	1	0		0
56735	32	мужской	0	1	53,54	1	1	1	0		0
56741	41	женский	3	4	53,48	1	4	1	0	29.07.2006	1
56747	68	женский	0	1	53,53	1	0	1	0		0
56846	52	мужской	0	1	53,63	1	2	1	0		0
56881	36	мужской	2	4	53,65	3	0	1	0		0
56946	56	женский	3	1	53,74	1	3	1	0		0
56955	33	мужской	1	1	53,74	1	0	1	0		0
56962	26	мужской	1	3	53,71	1	1	1	0		0
56968	51	женский	4	1	53,66	1	5	1	0		0
56983	51	женский	2	1	53,77	1	1	1	0		0
56991	38	мужской	4	1	53,79	1	5	1	0		0
57019	42	мужской	4	1	53,83	1	2	1	0		0
57035	31	женский	2	1	53,83	1	3	1	0		0
57045	49	мужской	3	1	53,76	26	1	1	0		0
57047	47	мужской	3	1	53,84	1	4	1	0		0
57077	28	мужской	3	3	53,94	2	4	1	0		0
57078	57	женский	3	1	53,95	1	0	1	0		0
57094	43	мужской	3	1	54,02	1	2	1	0		0
57096	23	женский	0	1	54,05	1	2	1	0		0
57102	46	мужской	3	4	53,96	23	5	1	0	22.07.2006	1
57106	34	женский	3	1	54,03	1	2	1	0		0
57113	38	мужской	2	3	54,05	1	2	1	0	27.07.2006	1
57114	46	мужской	4	1	54,05	1	2	1	0		0
57125	18	женский	0	3	53,99	1	4	1	0		0
57129	38	женский	0	1	53,98	1	0	1	0		0
57145	15	мужской	3	1	53,99	1	3	1	0		0
57173	44	мужской	2	1	53,96	1	4	1	0		0
57174	33	женский	3	1	53,98	1	4	1	0		0
57187	40	мужской	0	1	54,01	1	5	1	0		0
57195	37	мужской	3	1	54,04	1	3	1	0		0
57214	35	мужской	0	2	53,98	1	2	1	0		0
57219	48	женский	0	1	54,03	1	2	1	0		0
57261	57	женский	2	1	54	1	2	1	0		0
57317	29	мужской	4	2	54,02	1	4	1	0		0
57324	52	мужской	3	1	54,02	1	4	1	0		0
57325	49	мужской	4	1	54,01	1	1	1	0		0
57338	43	мужской	0	1	53,96	1	6	1	0		0
57360	41	женский	1	6	53,96	27	4	1	0	11.07.2006	1
57368	26	мужской	3	3	53,98	3	4	1	0		0
57384	40	женский	1	1	53,97	1	4	1	0		0
57389	32	женский	2	1	54,05	1	3	1	0		0
57403	51	мужской	2	1	53,98	1	3	1	0		0
57410	65	мужской	0	1	54,01	1	3	1	0		0
57411	56	мужской	3	3	53,98	2	1	1	0		0
57424	31	женский	3	6	54,03	1	2	1	0	25.07.2006	1
57427	19	женский	4	1	54	1	2	1	0		0
57466	23	мужской	4	4	54,02	2	2	1	0		0
57484	47	мужской	2	6	53,99	3	1	1	0		0
57495	24	мужской	3	1	53,99	1	3	1	0		0
57498	34	мужской	1	5	54,04	28	2	1	0		0
57500	36	мужской	4	1	54,05	1	3	1	0		0
57527	50	женский	2	1	53,98	1	2	1	0		0
57531	39	мужской	4	1	53,98	1	0	1	0		0
57532	49	мужской	0	1	54,04	1	2	1	0		0
57537	31	мужской	3	2	54	1	0	1	0		0
57556	28	женский	1	1	53,99	1	3	1	0		0
57588	31	женский	2	1	54,04	1	1	1	0		0
57606	38	мужской	3	1	54,01	1	2	1	0		0
57637	34	мужской	0	1	53,97	1	3	1	0		0
57675	23	женский	4	5	54,06	2	1	0	0		0
57680	27	мужской	3	1	54,09	1	2	1	0		0
57685	38	мужской	3	1	54,14	1	2	1	0		0
57696	49	женский	2	1	54,12	1	1	1	0		0
57731	47	женский	0	1	54,14	1	2	1	0		0
57742	34	мужской	3	4	54,08	3	1	1	1		0
57749	35	мужской	4	1	54,09	1	5	1	0		0
57781	28	женский	0	1	54,16	1	1	1	1		0
57783	61	женский	2	1	54,19	1	2	1	0		0
57784	51	мужской	3	1	54,17	1	2	1	0		0
57792	16	женский	3	2	54,21	1	2	1	0		0
57793	34	мужской	1	1	54,18	1	2	1	0		0
57846	40	женский	3	1	54,35	1	7	1	0		0
57889	45	женский	2	3	54,29	2	1	1	0	16.07.2006	1
57890	52	мужской	2	2	54,3	9	3	1	0	27.07.2006	1
57917	44	мужской	4	1	54,3	1	5	1	0		0
57920	37	мужской	2	4	54,3	3	1	1	0		0
57922	55	женский	3	4	54,33	3	4	1	0		0
57930	60	женский	2	1	54,32	1	2	1	0		0
57939	23	мужской	4	2	54,35	1	4	1	0		0
57943	39	мужской	1	4	54,26	2	1	1	0		0
57950	43	мужской	1	1	54,25	1	2	1	0	26.07.2006	1
57952	32	женский	3	1	54,26	1	1	1	0		0
57953	11	женский	3	6	54,26	3	4	1	0		0
57963	46	женский	3	1	54,25	1	2	1	0		0
58009	23	мужской	3	2	54,36	1	2	1	0	07.07.2006	1
58012	43	женский	1	1	54,4	1	2	1	0		0
58033	61	женский	2	1	54,36	1	4	1	0		0
58034	39	женский	0	1	54,39	1	2	1	0		0
58053	41	мужской	3	3	54,36	1	1	1	0		0
58059	39	мужской	2	1	54,42	1	6	1	0		0
58060	52	мужской	3	1	54,42	1	6	1	0		0
58069	49	женский	3	1	54,35	8	0	1	0		0
58076	47	мужской	2	1	54,4	1	2	1	0		0
58120	58	женский	4	1	54,42	1	3	1	0		0
58128	47	женский	0	1	54,45	1	1	1	0		0
58175	39	мужской	1	1	54,36	1	2	1	0		0
58183	45	женский	3	2	54,39	1	3	1	0		0
58187	57	женский	3	1	54,35	1	4	1	0		0
58188	28	мужской	1	1	54,39	1	1	1	0		0
58190	36	женский	4	3	54,38	2	3	1	0		0
58213	34	мужской	2	1	54,37	1	1	1	0		0
58224	32	мужской	2	2	54,41	1	1	1	0		0
58232	38	мужской	2	3	54,37	23	2	1	0	18.07.2006	1
58258	36	мужской	3	1	54,42	1	6	1	0		0
58266	33	мужской	2	1	54,41	1	0	1	0		0
58271	36	женский	3	1	54,38	1	0	0	1		0
58281	41	женский	2	1	54,41	1	1	1	0		0
58283	42	мужской	3	3	54,38	1	0	1	0		0
58289	46	женский	3	1	54,38	1	2	1	0		0
58302	41	мужской	1	5	54,39	3	1	1	0		0
58309	45	женский	2	3	54,42	2	2	1	0		0
58317	37	мужской	0	1	54,45	1	2	1	0		0
58322	45	женский	2	4	54,4	2	2	1	0		0
58323	42	мужской	3	1	54,39	1	1	1	0		0
58381	38	женский	2	1	54,36	1	2	1	0		0
58382	69	женский	0	1	54,36	1	2	1	0		0
58395	29	женский	2	1	54,42	1	2	1	0		0
58406	31	мужской	3	1	54,39	1	1	1	0		0
58420	40	мужской	2	1	54,42	1	3	1	0		0
58426	39	мужской	0	1	54,41	1	2	1	0		0
58440	41	женский	1	1	54,41	1	5	1	0		0
58445	39	мужской	1	1	54,44	1	0	1	0		0
58453	49	женский	3	1	54,39	1	2	1	0		0
58470	28	мужской	4	2	54,4	19	3	1	0		0
58472	54	мужской	1	1	54,45	1	0	1	0		0
58497	34	мужской	3	3	54,38	2	1	1	0		0
58498	35	мужской	0	1	54,39	1	2	1	0		0
58514	65	мужской	1	3	54,45	1	2	1	0		0
58533	43	женский	2	1	54,36	1	6	1	0		0
58546	46	женский	1	2	54,41	1	1	1	0		0
58553	54	мужской	2	1	54,44	1	1	1	0		0
58560	24	женский	1	1	54,44	1	2	1	0		0
58566	30	женский	2	1	54,35	1	1	1	0		0
58576	51	женский	1	1	54,4	1	3	1	0		0
58577	43	женский	1	1	54,4	1	3	1	0	26.07.2006	1
58616	53	женский	3	1	54,36	1	2	1	0		0
58623	58	женский	1	2	54,41	1	3	1	0		0
58631	47	мужской	2	3	54,44	2	6	1	1		0
58638	30	женский	1	2	54,41	1	3	1	0		0
58640	33	мужской	2	1	54,37	1	2	1	0		0
58656	40	женский	3	1	54,36	1	0	1	0		0
58657	44	женский	3	1	54,43	1	4	1	0		0
58675	18	женский	3	1	54,39	1	2	1	0		0
58709	16	мужской	2	1	54,58	1	1	1	0		0
58714	41	женский	0	1	54,63	1	0	1	0		0
58716	48	женский	1	1	54,62	1	4	1	0		0
58732	53	женский	2	1	54,62	1	2	1	0		0
58745	40	мужской	3	1	54,63	1	2	1	0		0
58806	67	мужской	1	1	54,59	1	3	1	0		0
58817	36	мужской	1	1	54,65	1	2	1	0		0
58824	28	мужской	3	1	54,61	1	3	1	0		0
58839	66	женский	2	1	54,6	1	2	1	0		0
58843	54	мужской	3	5	54,57	3	4	1	0		0
58849	40	женский	4	1	54,61	1	0	1	0		0
58914	41	женский	1	1	54,59	1	1	1	0		0
58939	47	женский	3	4	54,65	2	3	1	0		0
58948	18	женский	2	1	54,61	1	2	1	0		0
58971	32	мужской	0	1	54,61	1	3	1	0		0
58995	48	мужской	1	1	54,64	1	4	1	0		0
59003	41	женский	4	4	54,62	1	1	1	0		0
59007	22	мужской	1	1	54,65	1	1	1	0		0
59026	40	женский	3	1	54,59	1	1	1	0		0
59040	31	мужской	1	1	54,58	1	5	1	0		0
59042	39	мужской	0	1	54,57	1	1	1	0		0
59049	43	женский	1	1	54,62	1	2	1	0		0
59051	39	мужской	4	2	54,62	1	2	1	0		0
59075	26	мужской	3	4	54,61	1	4	1	0		0
59092	42	мужской	0	1	54,61	1	3	1	0		0
59102	23	женский	3	2	54,58	1	2	1	0		0
59110	51	мужской	4	2	54,62	1	0	1	0	05.07.2006	1
59128	27	мужской	3	1	54,81	1	3	1	0		0
59182	72	женский	0	1	54,76	1	1	1	0		0
59187	48	мужской	1	2	54,75	1	2	1	0		0
59200	38	мужской	3	1	54,83	1	2	1	0		0
59216	46	женский	3	1	54,8	1	6	1	0		0
59223	36	мужской	3	1	54,76	1	7	1	0		0
59240	30	мужской	4	1	54,77	1	5	1	0		0
59246	33	мужской	1	4	54,79	2	1	1	0		0
59251	60	женский	3	1	54,76	1	2	1	0		0
59265	19	женский	3	4	54,82	3	1	1	0		0
59270	42	женский	4	3	54,81	2	3	1	0		0
59271	49	женский	2	3	54,81	1	3	1	0		0
59273	32	мужской	3	1	54,82	1	0	1	0		0
59276	32	мужской	4	1	54,77	1	6	1	0		0
59286	38	женский	4	1	54,87	1	4	1	0		0
59306	39	женский	3	2	54,94	1	2	1	0		0
59318	35	мужской	2	1	54,89	1	3	1	0		0
59330	45	женский	2	1	54,92	1	1	1	0		0
59335	49	женский	0	1	54,9	1	3	1	0		0
59342	31	женский	1	1	54,94	1	0	1	1		0
59346	25	женский	2	4	54,93	2	2	1	0		0
59358	41	мужской	3	4	54,88	2	5	1	0	18.07.2006	1
59372	28	мужской	3	3	54,87	5	0	1	0	22.07.2006	1
59377	54	мужской	2	1	54,95	1	4	1	0		0
59381	42	мужской	2	1	54,92	1	1	1	0		0
59405	48	мужской	1	2	54,87	1	1	1	0		0
59417	27	мужской	0	1	54,91	1	2	1	0		0
59423	19	мужской	1	3	54,92	1	1	1	0		0
59427	35	мужской	0	1	54,93	1	3	1	0		0
59430	43	мужской	2	1	54,85	1	4	1	0		0
59432	35	мужской	4	3	54,86	1	3	1	0		0
59433	41	мужской	1	4	54,86	23	3	1	0		0
59439	53	женский	2	1	54,86	1	2	1	0		0
59516	51	мужской	0	3	54,86	1	0	1	0		0
59518	33	женский	2	1	54,86	1	4	1	0		0
59524	45	женский	4	1	54,89	1	0	1	0		0
59532	30	женский	2	1	54,91	1	2	1	0		0
59565	38	женский	2	3	54,88	3	0	1	0		0
59571	40	женский	2	4	54,9	2	2	1	0		0
59576	43	мужской	1	2	54,9	2	0	1	0		0
59583	29	женский	2	2	54,9	2	1	1	0		0
59586	39	мужской	0	1	54,92	1	5	1	0		0
59589	46	мужской	1	1	54,92	1	5	1	0		0
59612	47	женский	0	1	54,9	1	3	1	0		0
59645	55	мужской	2	1	54,93	1	2	1	0		0
59647	38	женский	2	1	54,93	1	2	1	0		0
59664	31	женский	2	1	54,87	1	0	1	0	11.07.2006	1
59669	46	женский	0	1	54,86	1	0	1	0		0
59672	47	мужской	2	1	54,92	1	0	1	0		0
59680	33	женский	0	1	54,9	1	1	1	0		0
59716	38	мужской	1	1	54,92	1	2	1	0		0
