Код	Дата	ОД, %	Возраст	Проживание	Срок проживания в регионе	Семейное положение	Образование	Стаж работы на последнем месте	Уровень должности	Кредитная история	Просрочки свыше 60 дн.	Тестовое множество
126	08.03.2007	55	27	Муниципальное жилье	свыше 5 лет	Женат/замужем	среднее специальное	менее 1 года	сотрудник	отрицательная	1	False
127	09.03.2007	30	27	Муниципальное жилье	свыше 5 лет	Холост/Не замужем	среднее специальное	от 1 года до 3 лет	сотрудник	нет данных	0	False
128	09.03.2007	46	35	Аренда	свыше 5 лет	Женат/замужем	среднее специальное	менее 1 года	сотрудник	отрицательная	1	False
129	09.03.2007	20	29	Собственник	менее 1 года	Женат/замужем	среднее специальное	менее 1 года	сотрудник	положительная	0	True
130	09.03.2007	36	31	Собственник	свыше 5 лет	Другое	высшее	свыше 3 лет	сотрудник	положительная	0	False
131	09.03.2007	48	43	Собственник	менее 1 года	Холост/Не замужем	среднее специальное	менее 1 года	руководитель высшего звена	нет данных	0	False
132	09.03.2007	17	59	Собственник	менее 1 года	Женат/замужем	высшее	менее 1 года	сотрудник	отрицательная	0	False
133	09.03.2007	40	42	Собственник	от 1 до 5 лет	Другое	среднее специальное	менее 1 года	руководитель среднего звена	нет данных	0	True
134	09.03.2007	38	33	Собственник	менее 1 года	Другое	среднее	менее 1 года	руководитель среднего звена	положительная	0	False
135	09.03.2007	46	27	Муниципальное жилье	менее 1 года	Женат/замужем	высшее	менее 1 года	сотрудник	положительная	0	False
136	09.03.2007	34	31	Собственник	менее 1 года	Разведен(а)/Вдовство	среднее специальное	менее 1 года	руководитель среднего звена	положительная	0	True
137	09.03.2007	29	31	Собственник	менее 1 года	Женат/замужем	среднее	менее 1 года	руководитель среднего звена	нет данных	1	False
138	09.03.2007	14	28	Собственник	менее 1 года	Холост/Не замужем	высшее	менее 1 года	руководитель высшего звена	положительная	0	False
139	09.03.2007	31	38	Собственник	от 1 до 5 лет	Холост/Не замужем	среднее специальное	менее 1 года	руководитель среднего звена	положительная	0	True
140	09.03.2007	29	23	Собственник	свыше 5 лет	Холост/Не замужем	высшее	от 1 года до 3 лет	руководитель среднего звена	положительная	0	False
141	09.03.2007	52	30	Аренда	свыше 5 лет	Другое	среднее специальное	от 1 года до 3 лет	сотрудник	нет данных	1	False
142	09.03.2007	22	29	Собственник	менее 1 года	Другое	высшее	свыше 3 лет	сотрудник	нет данных	0	False
143	09.03.2007	17	27	Собственник	менее 1 года	Другое	среднее	свыше 3 лет	руководитель среднего звена	нет данных	0	False
144	09.03.2007	22	38	Аренда	менее 1 года	Холост/Не замужем	среднее специальное	менее 1 года	руководитель среднего звена	нет данных	1	False
145	09.03.2007	15	39	Аренда	от 1 до 5 лет	Холост/Не замужем	среднее специальное	свыше 3 лет	сотрудник	нет данных	0	False
146	09.03.2007	29	37	Собственник	менее 1 года	Женат/замужем	среднее специальное	менее 1 года	сотрудник	положительная	0	False
147	09.03.2007	35	37	Собственник	менее 1 года	Другое	среднее специальное	свыше 3 лет	сотрудник	отрицательная	1	True
148	09.03.2007	30	44	Собственник	менее 1 года	Холост/Не замужем	среднее	свыше 3 лет	руководитель среднего звена	положительная	0	False
149	09.03.2007	25	31	Собственник	менее 1 года	Другое	среднее специальное	менее 1 года	сотрудник	нет данных	1	False
150	09.03.2007	30	35	Собственник	менее 1 года	Холост/Не замужем	среднее специальное	менее 1 года	сотрудник	нет данных	0	False
151	09.03.2007	26	27	Муниципальное жилье	менее 1 года	Женат/замужем	высшее	свыше 3 лет	сотрудник	нет данных	0	True
152	10.03.2007	12	45	Муниципальное жилье	от 1 до 5 лет	Разведен(а)/Вдовство	среднее специальное	от 1 года до 3 лет	руководитель среднего звена	нет данных	0	False
153	10.03.2007	38	40	Собственник	свыше 5 лет	Разведен(а)/Вдовство	высшее	от 1 года до 3 лет	сотрудник	отрицательная	1	False
154	10.03.2007	53	24	Собственник	от 1 до 5 лет	Женат/замужем	среднее специальное	менее 1 года	сотрудник	нет данных	0	False
155	10.03.2007	23	25	Муниципальное жилье	менее 1 года	Другое	среднее специальное	менее 1 года	сотрудник	нет данных	1	False
156	10.03.2007	18	51	Собственник	менее 1 года	Другое	высшее	менее 1 года	сотрудник	нет данных	0	False
157	10.03.2007	49	35	Аренда	свыше 5 лет	Разведен(а)/Вдовство	среднее	свыше 3 лет	сотрудник	нет данных	1	True
158	10.03.2007	23	38	Собственник	от 1 до 5 лет	Разведен(а)/Вдовство	среднее специальное	от 1 года до 3 лет	руководитель среднего звена	положительная	0	False
159	10.03.2007	39	36	Собственник	свыше 5 лет	Холост/Не замужем	высшее	менее 1 года	сотрудник	нет данных	0	False
160	10.03.2007	44	29	Собственник	свыше 5 лет	Другое	высшее	от 1 года до 3 лет	руководитель среднего звена	положительная	0	True
161	10.03.2007	55	29	Муниципальное жилье	менее 1 года	Женат/замужем	среднее	свыше 3 лет	руководитель среднего звена	нет данных	1	False
162	10.03.2007	27	32	Собственник	от 1 до 5 лет	Женат/замужем	высшее	свыше 3 лет	руководитель высшего звена	нет данных	0	False
163	10.03.2007	12	39	Аренда	менее 1 года	Другое	высшее	менее 1 года	сотрудник	нет данных	0	True
164	10.03.2007	12	38	Муниципальное жилье	от 1 до 5 лет	Холост/Не замужем	среднее специальное	менее 1 года	сотрудник	нет данных	0	False
165	10.03.2007	30	36	Муниципальное жилье	от 1 до 5 лет	Другое	среднее специальное	менее 1 года	сотрудник	нет данных	0	False
166	12.03.2007	15	42	Собственник	от 1 до 5 лет	Другое	среднее	свыше 3 лет	сотрудник	нет данных	0	False
167	12.03.2007	20	27	Аренда	свыше 5 лет	Холост/Не замужем	высшее	менее 1 года	руководитель среднего звена	нет данных	0	False
168	12.03.2007	45	27	Собственник	менее 1 года	Другое	среднее специальное	менее 1 года	сотрудник	положительная	0	False
169	12.03.2007	49	48	Собственник	менее 1 года	Холост/Не замужем	высшее	менее 1 года	руководитель среднего звена	положительная	0	False
170	12.03.2007	28	43	Собственник	менее 1 года	Другое	среднее специальное	менее 1 года	руководитель среднего звена	нет данных	0	False
171	12.03.2007	34	40	Муниципальное жилье	свыше 5 лет	Другое	среднее специальное	от 1 года до 3 лет	руководитель среднего звена	нет данных	0	False
172	12.03.2007	46	31	Собственник	от 1 до 5 лет	Разведен(а)/Вдовство	высшее	от 1 года до 3 лет	сотрудник	нет данных	0	False
173	12.03.2007	24	33	Муниципальное жилье	от 1 до 5 лет	Холост/Не замужем	среднее	от 1 года до 3 лет	сотрудник	положительная	0	True
174	12.03.2007	28	34	Муниципальное жилье	свыше 5 лет	Холост/Не замужем	среднее специальное	от 1 года до 3 лет	руководитель среднего звена	нет данных	0	False
175	12.03.2007	18	41	Собственник	менее 1 года	Женат/замужем	среднее	менее 1 года	руководитель среднего звена	нет данных	0	False
176	12.03.2007	14	34	Муниципальное жилье	менее 1 года	Женат/замужем	высшее	менее 1 года	сотрудник	нет данных	0	False
177	12.03.2007	33	29	Собственник	от 1 до 5 лет	Женат/замужем	высшее	свыше 3 лет	сотрудник	положительная	0	True
178	12.03.2007	34	30	Муниципальное жилье	менее 1 года	Женат/замужем	среднее	менее 1 года	сотрудник	положительная	0	False
179	12.03.2007	36	28	Муниципальное жилье	свыше 5 лет	Другое	среднее специальное	от 1 года до 3 лет	сотрудник	отрицательная	1	False
180	12.03.2007	40	39	Собственник	свыше 5 лет	Холост/Не замужем	среднее специальное	от 1 года до 3 лет	сотрудник	нет данных	0	True
181	12.03.2007	34	31	Собственник	свыше 5 лет	Женат/замужем	среднее специальное	от 1 года до 3 лет	сотрудник	положительная	0	False
182	12.03.2007	37	40	Собственник	менее 1 года	Другое	среднее специальное	менее 1 года	сотрудник	отрицательная	1	True
183	12.03.2007	38	40	Аренда	от 1 до 5 лет	Женат/замужем	среднее	менее 1 года	руководитель среднего звена	нет данных	1	False
184	12.03.2007	29	23	Собственник	от 1 до 5 лет	Разведен(а)/Вдовство	высшее	от 1 года до 3 лет	руководитель среднего звена	положительная	0	False
185	12.03.2007	38	52	Собственник	свыше 5 лет	Другое	среднее	менее 1 года	сотрудник	отрицательная	1	False
186	12.03.2007	13	47	Собственник	менее 1 года	Женат/замужем	высшее	менее 1 года	руководитель среднего звена	положительная	0	False
187	12.03.2007	26	50	Собственник	от 1 до 5 лет	Другое	среднее специальное	свыше 3 лет	сотрудник	нет данных	0	False
188	12.03.2007	31	34	Собственник	от 1 до 5 лет	Женат/замужем	среднее специальное	от 1 года до 3 лет	сотрудник	нет данных	0	False
189	12.03.2007	42	34	Собственник	свыше 5 лет	Женат/замужем	среднее специальное	от 1 года до 3 лет	руководитель среднего звена	нет данных	0	False
190	12.03.2007	49	45	Собственник	свыше 5 лет	Холост/Не замужем	среднее	от 1 года до 3 лет	сотрудник	положительная	0	False
191	12.03.2007	48	54	Собственник	менее 1 года	Холост/Не замужем	среднее	менее 1 года	сотрудник	нет данных	0	False
192	12.03.2007	37	53	Муниципальное жилье	менее 1 года	Другое	среднее специальное	менее 1 года	сотрудник	нет данных	0	False
193	12.03.2007	27	47	Собственник	менее 1 года	Холост/Не замужем	высшее	менее 1 года	сотрудник	положительная	0	False
194	12.03.2007	21	31	Собственник	менее 1 года	Другое	среднее специальное	свыше 3 лет	руководитель среднего звена	нет данных	0	False
195	12.03.2007	12	39	Муниципальное жилье	свыше 5 лет	Другое	высшее	от 1 года до 3 лет	руководитель среднего звена	положительная	0	False
196	12.03.2007	50	35	Аренда	менее 1 года	Холост/Не замужем	среднее	менее 1 года	сотрудник	отрицательная	0	False
197	12.03.2007	19	38	Собственник	менее 1 года	Другое	высшее	менее 1 года	сотрудник	нет данных	0	False
198	13.03.2007	36	30	Собственник	свыше 5 лет	Женат/замужем	среднее специальное	свыше 3 лет	руководитель среднего звена	отрицательная	0	False
199	13.03.2007	36	41	Собственник	от 1 до 5 лет	Холост/Не замужем	среднее специальное	менее 1 года	сотрудник	нет данных	0	False
200	13.03.2007	15	29	Собственник	от 1 до 5 лет	Холост/Не замужем	среднее	от 1 года до 3 лет	сотрудник	положительная	0	False
201	13.03.2007	42	33	Собственник	от 1 до 5 лет	Женат/замужем	среднее специальное	от 1 года до 3 лет	сотрудник	отрицательная	0	False
202	13.03.2007	34	42	Собственник	от 1 до 5 лет	Женат/замужем	среднее	свыше 3 лет	сотрудник	нет данных	0	False
203	13.03.2007	34	45	Собственник	свыше 5 лет	Разведен(а)/Вдовство	среднее специальное	от 1 года до 3 лет	сотрудник	положительная	0	False
204	13.03.2007	38	31	Аренда	менее 1 года	Разведен(а)/Вдовство	среднее специальное	менее 1 года	руководитель среднего звена	нет данных	0	False
205	13.03.2007	52	39	Муниципальное жилье	менее 1 года	Женат/замужем	высшее	свыше 3 лет	сотрудник	положительная	0	False
206	13.03.2007	29	40	Собственник	от 1 до 5 лет	Женат/замужем	среднее специальное	от 1 года до 3 лет	сотрудник	нет данных	0	False
207	13.03.2007	20	32	Муниципальное жилье	менее 1 года	Холост/Не замужем	высшее	свыше 3 лет	сотрудник	положительная	0	False
208	13.03.2007	18	34	Собственник	от 1 до 5 лет	Женат/замужем	среднее	от 1 года до 3 лет	руководитель среднего звена	отрицательная	0	True
