Товар.Код	Товар.Наименование	Товарная группа
1815	Дротаверин-Н.С. табл. 40 мг уп.контурн.яч. 10 пач.картон. 1 Щелковский витаминный завод	243
1830	Дротаверина гидрохлорида таблетки 0,04 г табл. 40 мг уп.контурн.яч. 10 пач.картон. 2 Асфарма	243
1843	Дротаверина гидрохлорида таблетки 0,04 г табл. 40 мг уп.контурн.яч. 10 пач.картон. 2 АЛСИ Фарма	243
1871	Дюфалак сироп фл.ПЭ 200 мл [с мерн.стак.] Solvay Pharmaceuticals	231
1872	Дюфалак сироп фл.ПЭ 500 мл [с мерн.стак.] Solvay Pharmaceuticals	231
2206	Йода раствор спиртовой 5% р-р спирт.наружн. 5 % фл. 25 мл Ай Си Эн Лексредства	108
2236	Йодид 100 табл. 100 мкг йода уп.контурн.яч. 25 пач.картон. 4 Merck KGaA (Германия) for Nycomed	67
2239	Йодид 200 табл. 200 мкг йода уп.контурн.яч. 25 пач.картон. 4 Merck KGaA (Германия) for Nycomed	67
2240	Йодид 200 табл. 200 мкг йода уп.контурн.яч. 25 пач.картон. 2 Merck KGaA (Германия) for Nycomed	67
2289	Кальций-Д_3 Никомед табл.жев. с апельс. фл. 50 Nycomed Pharma	198
2290	Кальций-Д_3 Никомед табл.жев. с апельс. фл. 20 Nycomed Pharma	198
2291	Кальций-Д_3 Никомед табл.жев. с апельс. фл. 100 Nycomed Pharma	198
2433	Кардура табл. 4 мг бл. 7 кор. 2 Pfizer	238
2437	Кардура табл. 1 мг бл. 7 кор. 2 Pfizer	238
2541	Клотримазол табл.ваг. 100 мг бл. 6 кор. 1 Glaxo Wellcome Poznan	250
2542	Клотримазол крем 1 % туба 20 г кор. 1 Glaxo Wellcome Poznan	250
2546	Клотримазол р-р наружн. 1 % фл.темн.стекл. 15 мл [с капельн.] пач.картон. 1 Terpol	250
2548	Клотримазол-Акри табл.ваг. 100 мг уп.контурн.яч. 6 пач.картон. 1 Акрихин	250
2812	Лидокаина гидрохлорид р-р д/ин. 10 % амп. 2 мл [с нож.амп.] пач.картон. 10 Мосхимфармпрепараты	50
2814	Лидокаина гидрохлорид р-р д/ин. 2 % амп. 2 мл [с нож.амп.] пач.картон. 10 Верофарм (Воронежский фили	50
2823	Лидокаина гидрохлорида раствор для инъекций р-р д/ин. 10 % амп. 2 мл [с нож.амп.] пач.картон. 10 Био	50
2827	Лидокаина гидрохлорида раствор для инъекций р-р д/ин. 2 % амп. 2 мл [с нож.амп.] пач.картон. 10 Биос	50
3381	Но-шпа табл. 40 мг бл. 10 кор. 2 Chinoin	243
3382	Но-шпа табл. 40 мг конт. 100 кор. 1 Chinoin	243
3384	Но-шпа р-р д/ин. 40 мг/2 мл амп. 2 мл кор. 5 Chinoin	243
3386	Но-шпа форте р-р д/ин. 80 мг/4 мл амп.в бл. 5 кор. 1 Chinoin	243
3388	Но-шпа форте табл. 80 мг бл. 10 кор. 2 Chinoin	243
3511	Омник капс.с модиф.высвоб. 0,4 мг бл. 10 кор. 1 Yamanouchi	238
3626	Панангин р-р д/ин. амп. 10 мл кор. 5 Gedeon Richter	108
3683	Пентоксифиллин-Акри таблетки, покрытые оболочкой, 0,1 г табл.п.о. 0,1 г уп.контурн.яч. 10 пач.картон	171
3690	Пентоксифиллина таблетки 0,1 г табл.п.о.раствор./кишечн. 0,1 г уп.контурн.яч. 10 кор. 6 Щелковский в	171
3801	Плаквенил табл.п.о. 200 мг бл. 10 кор. 6 Sanofi-Winthrop Industrie	34
4137	Сальбутамол аэроз.ингал.доз. бал.аэроз. 12 мл [с доз.устр.] кор. 1 Мосхимфармпрепараты	239
4138	Сальбутамол аэроз.ингал.доз. 100 мкг/доза бал.аэроз. 12 мл [с доз.устр.] пач.картон. 1 Алтайвитамины	239
4252	Сорбифер Дурулес табл.п.о. фл. 50 кор. 1 Egis	198
4253	Сорбифер Дурулес табл.п.о. фл. 30 кор. 1 Egis	198
4425	Тамоксифен филмтабл. 20 мг уп.контурн.яч. 10 кор. 3 Hexal AG	64
4435	Тамоксифен филмтабл. 10 мг уп.контурн.яч. 10 кор. 3 Hexal AG	64
4751	Тромбо АСС табл.п.п.о.раствор/кишечн. 50 мг бл. 10 кор. 3 Lannacher Heilmittel	171
4752	Тромбо АСС табл.п.п.о.раствор/кишечн. 100 мг бл. 10 кор. 3 Lannacher Heilmittel	171
4930	Фолиевой кислоты таблетки 0,001 г табл. 1 мг бан. 50 Щелковский витаминный завод	176
4931	Фолиевой кислоты таблетки 0,001 г табл. 1 мг бан.темн.стекл. 50 Щелковский витаминный завод	176
5134	Целестодерм-В с гарамицином мазь туба 15 г кор. 1 Schering-Plough Labo N.V.	253
5135	Целестодерм-В с гарамицином мазь туба 30 г кор. 1 Schering-Plough Labo N.V.	253
5189	Цианокобаламина раствор для инъекций р-р д/ин. 0,02 % амп. 1 мл [с нож.амп.] кор. 10 Мосхимфармпрепа	176
5190	Цианокобаламина раствор для инъекций р-р д/ин. 0,05 % амп. 1 мл [с нож.амп.] кор. 10 Дальхимфарм	176
5199	Цианокобаламина раствор для инъекций р-р д/ин. 0,05 % амп. 1 мл [с нож.амп.] кор. 10 Ай Си Эн Октябр	176
5201	Цианокобаламина раствор для инъекций р-р д/ин. 0,02 % амп. 1 мл [с нож.амп.] кор. 10 Дальхимфарм	176
5377	Эмоксипин р-р д/ин. 1 % амп. 1 мл [с нож.амп.] кор. 10 Белмедпрепараты	171
6100	Авиа-Море табл. уп.контурн.яч. 20 пач.картон. 1 Материа Медика	73
6179	Агнукастон табл.п.о. уп.контурн.яч. 15 пач.картон. 2 Bionorica	64
6182	Агнукастон капли для приема внутрь фл.-кап.темн.стекл. 50 мл пач.картон. 1 Bionorica	64
6247	Адвантан эмульс.наружн. 0,1 % туба 20 г кор. 1 Schering SpA дочернее предприятие Schering AG	242
6248	Адвантан мазь 0,1 % туба 15 г кор. 1 Schering SpA дочернее предприятие Schering AG	242
6249	Адвантан крем 0,1 % туба 15 г кор. 1 Schering SpA дочернее предприятие Schering AG	242
6250	Адвантан мазь жирн. 0,1 % туба 15 г кор. 1 Schering SpA дочернее предприятие Schering AG	242
6877	Акридерм СК мазь туба 30 г пач.картон. 1 Акрихин	242
6987	Актиферрин капс. бл. 10 кор. 2 Merckle	176
7002	Актовегин драже форте фл.темн.стекл. 10 кор. 1 Nycomed Austria	301
7005	Актовегин крем 5 % туба 20 г кор. 1 Nycomed Austria	301
7008	Актовегин гель 20 % туба 20 г кор. 1 Nycomed Austria	301
7009	Актовегин гель глазн. 20 % туба 5 г кор. 1 Nycomed Austria	301
7013	Актовегин р-р д/ин. 200 мг/5 мл амп. 5 мл кор. 5 Nycomed Austria	301
7014	Актовегин мазь 5 % туба 20 г кор. 1 Nycomed Austria	301
7509	Аллергодил спрей наз.доз. 0,14 мг/доза фл. 10 мл кор. 1 ASTA Medica	182
7537	Алликор табл. фл.пластик. 60 ИНАТ-ФАРМА	320
7737	Алоэ сироп с железом сироп фл. 100 мл пач.картон. 1 ВИФИТЕХ	176
8618	Амбене р-р д/ин. шпр.2-кам. [с игл., салф., пласт.] кор. 3 Merckle	211
8619	Амбене р-р д/ин. амп.дв. кор. 3 Merckle	211
9220	Аммиака раствор р-р наружн. 10 % фл.темн.стекл. 10 мл Ватхэм-Фармация	247
9240	Аммиака раствор р-р наружн. 10 % фл.темн.стекл. 40 мл Йодные технологии и маркетинг	247
9943	Анальгин-хинин табл.п.о. уп.контурн.яч. 10 Sopharma	211
10208	Андипал табл. уп.контурн.б/яч. 10 Усолье-Сибирский ХФК	243
10209	Андипал табл. уп.контурн.б/яч. 10 Фармакон	243
10215	Андипал табл. уп.контурн.б/яч. 10 Ирбитский химфармзавод	243
10216	Андипал табл. уп.контурн.б/яч. 10 Асфарма	243
10217	Андипал табл. уп.контурн.б/яч. 10 Ай Си Эн Томскхимфарм	243
10256	Анестезол (на полиэтиленоксидной основе) супп.рект. уп.контурн.яч. 5 пач.картон. 2 Нижфарм	50
10292	Аниса обыкновенного плоды плоды пак.бум. 50 г пач.картон. 1 Иван-Чай	38
10350	Анти-Ангин табл.д/рассас. уп.контурн.яч. 10 пач.картон. 2 Natur Product	247
10367	Анти-Э капли фл. 25 мл [с капельн.] кор. 1 Материа Медика Холдинг	279
10453	Антигриппин-АНВИ капс. уп.контурн.яч. 10 пач.картон. 2 Антивирал	198
10456	Антигриппокапс капс. уп.контурн.яч. 10 Минскинтеркапс	211
10613	Антифлу пор.д/р-ра для приема внутрь пак.флг.ламин.ПЭ пач.картон. 5 Sagmel, Inc.	182
10614	Антифлу табл. стрип 6 кор. 2 Sagmel, Inc.	182
10649	Анузол супп.рект. уп.контурн.яч. 5 пач.картон. 2 Биосинтез	247
10650	Анузол супп.рект. уп.контурн.яч. 5 пач.картон. 2 Дальхимфарм	247
11230	Аралии настойка настойка фл. 50 мл Краснодарская фармфабрика	48
11242	Аралии настойка настойка фл. 50 мл пач.картон. 1 Тверская фармфабрика	48
11308	Аргосульфан крем 2 % туба 40 г кор. 1 Jelfa S.A.	247
11397	Арника мазь туба 30 г пач.картон. 1 Московская фармфабрика	242
11414	Арника мазь гомеопатическая мазь фл. 20 г пач.картон. 1 Доктор Н	242
11496	Артехолин экстр.жидк. для приема внутрь фл.темн.стекл. 40 г [с мерн.стак.] пач.картон. 1 Phytopharm	223
11816	Аскорил экспекторант сироп фл. 100 мл кор. 1 Glenmark Pharmaceutical	38
11822	Аскорутин табл. уп.контурн.яч. 10 пач.картон. 5 Розфарм	198
11824	Аскорутин табл. уп.контурн.яч. 10 пач.картон. 5 ICN Марбиофарм	198
11827	Аскорутин табл. уп.контурн.яч. 50 Алтайвитамины	198
11829	Аскорутин табл. уп.контурн.яч. 10 пач.картон. ВИФИТЕХ	198
11832	Аскорутин табл. бан.п/пропилен. 50 Розфарм	198
11834	Аскорутин табл. бан.темн.стекл. 50 пач.картон. 1 Биосинтез	198
11841	Аскорутин табл. бан.темн.стекл. 50 пач.картон. 1 Ай Си Эн Октябрь	198
11846	Аскорутин табл. уп.контурн.б/яч. 10 Органика	198
11931	Аспаркам табл. уп.контурн.яч. 50 пач.картон. 1 Галичфарм	108
11945	Аспаркам таблетки табл. уп.контурн.яч. 50 пач.картон. 1 Луганский ХФЗ	108
12002	Аспирин Кардио табл.п.о.раствор./кишечн. 300 мг бл. 10 кор. 2 Bayer Pharma	171
12007	Аспирин плюс C табл.раствор. 10 BIFA, Bayer	198
12293	Ауробин мазь туба 20 г кор. 1 Gedeon Richter	50
12348	Афлодерм мазь 0,05 % туба 20 г пач.картон. 1 Belupo	242
12642	Ацидин-пепсина таблетки 0,25 г табл. 0,25 г бан. 50 кор. 1 Белмедпрепараты	222
12725	Ацилакт супп.ваг. уп.бум. 1 пач.картон. 10 Витафарма	247
12730	Ацилакт табл. фл. 20 пач.картон. 1 Витафарма	247
12733	Ацилакт табл. фл. 30 пач.картон. 1 Витафарма	247
12742	Ацилакт в свечах супп.ваг. уп.контурн.яч. 5 пач.картон. 2 Ланафарм	247
12786	АЦЦ 100 гран.д/р-ра для приема внутрь 100 мг пак. 1 Hexal AG	38
12928	Бадана корневище корневища 50 г кор. Техмедсервис	247
12931	Бадана корневище корневища 50 г кор. Иван-Чай	247
12948	Бадана корневище корневища 100 г кор. Народная медицина медицинская компания	247
13487	Баралгетас р-р д/ин. амп.темн.стекл. 5 мл кор. 5 Jugoremedija	243
13488	Баралгетас табл. 500 мг бл. 10 Jugoremedija	243
13747	Безорнил мазь рект. туба 10 г [с након.рект.] кор. 1 Mayinglong Pharmaceutical Co.	242
13756	Бекарбон табл. уп.контурн.б/яч. 6 Татхимфармпрепараты	227
13830	Беллалгин табл. уп.контурн.яч. 10 Дальхимфарм	211
13832	Беллалгин табл. проб. 10 пач.картон. 1 Татхимфармпрепараты	211
13840	Белластезин табл. проб. 10 Татхимфармпрепараты	50
13852	Белогент мазь туба 15 г пач.картон. 1 Belupo	242
13855	Белодерм мазь 0,05 % туба 30 г пач.картон. 1 Belupo	242
13856	Белодерм крем 0,05 % туба 15 г пач.картон. 1 Belupo	242
13857	Белодерм мазь 0,05 % туба 15 г пач.картон. 1 Belupo	242
13858	Белодерм крем 0,05 % туба 30 г пач.картон. 1 Belupo	242
13882	Белосалик мазь туба 30 г пач.картон. 1 Belupo	242
13883	Белосалик лосьон фл.ПЭ 50 мл пач.картон. 1 Belupo	242
13922	Бен-Гей крем туба 35 г кор. 1 Pfizer	211
13924	Бен-Гей спортивный бальзам крем туба 35 г кор. 1 Pfizer	211
14185	Бенсалитин (мазь мозольная) мазь туба 15 г пач.картон. 1 Московская фармфабрика	247
14211	Бепантен крем 5 % туба алюм. 30 г кор. 1 F.Hoffmann La-Roche Ltd., made by Roche Products Ltd.	198
14219	Бепантен мазь 5 % туба алюм. 30 г кор. 1 F.Hoffmann La-Roche Ltd., made by Roche Products Ltd.	198
14223	Бепантен плюс крем (плюс) 5% туба 30 г кор. 1 F.Hoffmann La-Roche Ltd., made by Roche Products Ltd.	198
14282	Березовые почки лек.раст.сырье пак.бум. 100 г пач.картон. 1 Красногорсклексредства	236
14283	Березовые почки лек.раст.сырье пак.бум. 50 г пач.картон. 1 Ленмедснаб-Доктор W ЗАО	236
14284	Березовые почки лек.раст.сырье пак.бум. 50 г пач.картон. 1 Красногорсклексредства	236
14676	Бетасерк табл. 8 мг бл. 15 пач.картон. 2 Solvay Pharmaceuticals	213
14677	Бетасерк табл. 16 мг бл. 15 пач.картон. 2 Solvay Pharmaceuticals	213
14689	Бетиол супп.рект. уп.контурн.яч. 5 пач.картон. 2 Нижфарм	168
14708	Бефунгин р-р для приема внутрь 100 мл кор. 1 Ярославская фармфабрика	301
14715	Бефунгин р-р для приема внутрь фл. 100 мл пач.картон. 1 ВИФИТЕХ	301
14807	Билобил капс. 40 мг уп.контурн.яч. 10 кор. 6 KRKA	171
15547	Биотредин табл.сублингв. уп.контурн.яч. 30 пач.картон. 1 Биотики МНПК	198
15653	Биттнер травяной эликсир эликсир фл.темн.стекл. 50 мл Bittner	236
15654	Биттнер травяной эликсир эликсир фл. 250 мл Bittner	236
15658	Биттнер травяной эликсир эликсир фл.темн.стекл. 100 мл Bittner	236
15691	Бифидумбактерин капс. 5 доз бан. 20 пач.картон. 1 Ланафарм	295
15692	Бифидумбактерин капс. 5 доз бан. 10 пач.картон. 1 Ланафарм	295
15695	Бифидумбактерин табл. фл. 20 пач.картон. 1 Витафарма	295
15723	Бифидумбактерин-1000-ТМ табл. 0,3 г уп. 30 Экко плюс	33
15948	БОЛЬШЕ ЧЕМ ПОЛИВИТАМИНЫ Кид"с формула табл.жев. фл. 40 пач.картон. 1 Verron Holding Inc.	198
15955	Болюсы Хуато пилюли бан. 80 г [с доз.ложкой] кор. 1 Qixing Pharmaceutical Co.	48
15958	Бом-Бенге мазь бан.темн.стекл. 25 г пач.картон. 1 Московская фармфабрика	211
15963	Бом-Бенге мазь мазь бан. 25 г Пятигорская фармфабрика	211
15965	Бом-Бенге мазь мазь бан. 25 г Тверская фармфабрика	211
16443	Боярышник табл.д/рассас. уп.контурн.яч. 10 кор. 2 Natur Product	87
16501	Боярышника настойка настойка фл. 25 мл Московская фармфабрика	87
16506	Боярышника настойка настойка фл. 25 мл Тверская фармфабрика	87
16534	Боярышника настойка настойка фл. 100 мл Росбио	87
16560	Боярышника настойка настойка фл. 25 мл пач.картон. 1 Волгоградская фармфабрика	87
16603	Боярышника настойка настойка фл. 25 мл Ярославская фармфабрика	87
16663	Боярышника плоды плоды пак.бум. 140 г пач.картон. 1 Красногорсклексредства	87
16677	Боярышника плоды плоды пак.бум. 75 г пач.картон. 1 Красногорсклексредства	87
16684	Боярышника плоды плоды фильтр-пак. 3 г пач.картон. 20 Красногорсклексредства	87
16704	Боярышника плоды плоды пак.бум. 140 г пач.картон. 1 Красногорсклексредства	87
16822	Бризолин капли наз. 0,1 % фл.-кап.ПЭ 10 мл пач.картон. 1 Брынцалов-А	234
17293	Бронхикум эликсир фл. 130 г кор. 1 Rhone-Poulenc Rorer	247
17303	Бронхикум сироп от кашля сироп фл. 130 г кор. 1 Rhone-Poulenc Rorer	247
17308	Бронхитусен Врамед сироп фл.пластик. 125 г кор. 1 Vramed	159
17389	Бруснивер сбор лек./брикеты 8 г уп.контурн.яч. 6 Красногорсклексредства	236
17401	Бруснивер-Т сбор лек./брикеты 8 г уп.контурн.яч. 6 Красногорсклексредства	236
17876	Вазобрал р-р для приема внутрь фл.темн.стекл. 50 мл [с доз.пипеткой] кор. 1 Chiesi	218
17891	Вазонит табл.п.о.ретард 600 мг бл. 10 кор. 2 Lannacher Heilmittel	171
18168	Валерианы корневища с корнями корневища и корни пак.бум. 50 г пач.картон. 1 Фитофарм ПКФ	243
18170	Валерианы корневища с корнями корневища и корни пак.бум. 50 г пач.картон. 1 Иван-Чай	243
18194	Валерианы корневища с корнями корневища и корни пак.бум. 50 г пач.картон. 1 Фарос-21	243
18211	Валерианы корневища с корнями корневища и корни фильтр-пак. 1,5 г пач.картон. 10 Красногорсклексредс	243
18220	Валерианы корневища с корнями корневища и корни фильтр-пак. 1,5 г пач.картон. 20 Красногорсклексредс	243
18235	Валерианы настойка настойка фл.-кап. 25 мл Московская фармфабрика	243
18249	Валерианы настойка настойка фл.темн.стекл. 25 мл Ярославская фармфабрика	243
18277	Валерианы настойка настойка фл.темн.стекл. 25 мл Московская фармфабрика	243
18284	Валерианы настойка настойка фл.темн.стекл. 25 мл пач.картон. 1 Фитофарм-НН	243
18296	Валерианы настойка настойка фл.темн.стекл. 25 мл пач.картон. 1 Московская фармфабрика	243
18301	Валерианы настойка настойка фл.темн.стекл. 25 мл Тверская фармфабрика	243
18333	Валерианы настойка настойка фл.-кап. 25 мл пач.картон. 1 Тверской витаминный завод	243
18346	Валерианы настойка настойка фл.темн.стекл. 30 мл пач.картон. 1 Татхимфармпрепараты	243
18381	Валерианы экстракт табл.п.о. 0,02 г уп.контурн.яч. 10 Дальхимфарм	243
18429	Валерианы экстракта таблетки, покрытые оболочкой, 0,02 г табл.п.о. 0,02 г фл. 50 Борисовский ЗМП	243
18440	Валерианы экстракта таблетки, покрытые оболочкой, 0,02 г табл.п.о. 0,02 г уп.контурн.яч. 10 Ай Си Эн	243
18442	Валерианы экстракта таблетки, покрытые оболочкой, 0,02 г табл.п.о. 0,02 г уп.контурн.яч. 50 ВИЛАР ПЭ	243
18472	Валидол в капсулах капс. 50 мг уп.контурн.яч. 20 кор. 2 Ай Си Эн Октябрь	73
18477	Валидол в капсулах 0,1 г капс. 100 мг уп.контурн.яч. 10 кор. 2 Минскинтеркапс	73
18483	Валидол-Н.С. табл.сублингв. 0,06 г уп.контурн.яч. 10 Щелковский витаминный завод	73
18489	Валидола с глюкозой таблетки 0,06 г табл. 0,06 г уп.контурн.яч. 10 Ирбитский химфармзавод	73
18490	Валидола с глюкозой таблетки 0,06 г табл. 0,06 г уп.контурн.яч. 10 Ай Си Эн Лексредства	73
18511	Валидола таблетки 0,06 г табл.сублингв. 0,06 г уп.контурн.яч. 6 Алтайвитамины	73
18541	Валокормид капли для приема внутрь фл. 30 мл Фитофарм-НН	243
19335	Веторон р-р для приема внутрь 2 % фл.-кап. 20 мл кор. 1 Аква-МДТ	198
19337	Веторон-Е р-р для приема внутрь 2 % фл.-кап. 20 мл кор. 1 Аква-МДТ	198
19461	Виброцил гель наз. туба 12 г кор. 1 Novartis Consumer Health SA	234
19462	Виброцил капли наз. фл.-кап. 15 мл кор. 1 Novartis Consumer Health SA	234
19463	Виброцил спрей наз. тюб.-кап. 10 мл кор. 1 Novartis Consumer Health SA	234
19529	Визин капли глазн. 0,05 % фл.-кап. 15 мл Pfizer	234
19622	Викалин табл. уп.контурн.б/яч. 10 Ай Си Эн Томскхимфарм	227
19624	Викалин табл. уп.контурн.б/яч. 10 Акрихин	227
19626	Викалин табл. уп.контурн.б/яч. 10 Ай Си Эн Лексредства	227
19879	Вискалдикс табл. бл. 10 кор. 2 Egis	236
20011	Витамакс капс. бл. 5 пач.картон. 1 Glaxo Wellcome Egypt	198
20013	Витамакс капс. бл. 15 пач.картон. 1 Glaxo Wellcome Egypt	198
20281	Витамины для больных диабетом табл. 400 мг бл. 10 кор. 3 Worwag Pharma	198
20474	Витрум Бьюти табл.п.о. фл.ПЭ 60 пач.картон. 1 Unipharm	198
20475	Витрум Бьюти табл.п.о. фл.ПЭ 30 пач.картон. 1 Unipharm	198
20508	Витрум Пренатал форте табл.п.о. фл.ПЭ 30 пач.картон. 1 Unipharm	198
20529	Витрум Юниор табл.жев. фл.ПЭ 30 пач.картон. 1 Unipharm	198
20530	Витрум Юниор табл.жев. фл.ПЭ 60 пач.картон. 1 Unipharm	198
20539	Виферон мазь 40000 МЕ/г бан.п/стир. 12 г пач.картон. 1 Ферон	33
20586	Вобэнзим табл.п.о.раствор./кишечн. бл. 20 кор. 2 Mucos Pharma	171
20588	Вобэнзим табл.п.о.раствор./кишечн. бл. 20 кор. 10 Mucos Pharma	171
20852	Галазолин капли наз. 0,1 % фл. 10 мл Warszawskie Zaklady Farmaceutyczne Polfa	234
20855	Галазолин капли наз. 0,05 % фл. 10 мл Warszawskie Zaklady Farmaceutyczne Polfa	234
20969	Гальманин пор. бан. 50 г Синтез АКО	242
21040	Гаразон капли глазн./ушн. фл.пластик. 5 мл пач.картон. 1 Schering-Plough Labo N.V.	293
21269	Гексорал аэроз.наружн. 0,2 % бал.аэроз. 40 мл [с нас.] кор. 1 Parke-Davis	247
21270	Гексорал р-р наружн. 0,1 % фл. 200 мл кор. 1 Parke-Davis	247
21466	Гематоген детский классный плитка уп. 50 г Гемакон	176
21798	Гепабене капс. бл. 10 кор. 3 Merckle	222
21923	Гепатромбин мазь 30000 ЕД туба 40 г пач.картон. 1 Hemofarm	172
21924	Гепатромбин мазь 50000 ЕД туба 40 г пач.картон. 1 Hemofarm	172
21926	Гепатромбин гель 30000 ЕД туба алюм. 40 г пач.картон. 1 Hemofarm	172
21929	Гепатромбин Г супп.рект. уп.контурн.яч. 5 пач.картон. 2 Hemofarm	50
21930	Гепатромбин Г мазь туба 20 г [с апплик.] пач.картон. 1 Hemofarm	50
21959	Гептрал табл.п.о.раствор./кишечн. 400 мг стрип 10 кор. 2 Knoll Farmaceutici	209
22053	Геримакс табл.п.о. бл. 10 кор. 3 Nycomed Austria	198
22057	Геримакс табл.п.о. бл. 10 кор. 1 Nycomed Austria	198
22363	Гинипрал табл. 0,5 мг бл. 10 кор. 2 Nycomed Austria	239
22774	Гликодин сироп фл.темн.стекл. 100 мл кор. 1 Alembic	38
22819	Глицерин жидк. фл. 25 г Краснодарская фармфабрика	242
22830	Глицерин жидк. фл. 25 г Ярославская фармфабрика	242
22835	Глицерин жидк. фл. 25 г Фитофарм-НН	242
22846	Глицерин жидк. фл. 25 г Санкт-Петербургская фармфабрика	242
22851	Глицерин жидк. фл. 25 г Тверская фармфабрика	242
22899	Глицин табл.сублингв. 0,1 г уп.контурн.яч. 50 пач.картон. 1 Биотики МНПК	46
22902	Глицин табл.сублингв. 0,1 г уп.контурн.яч. 10 пач.картон. 5 Мосхимфармпрепараты	46
23036	Глюкоза р-р д/инф. 5 % конт.полимер. 500 мл меш.ПЭ 1 Медполимер фирма	280
23062	Глюкоза р-р д/инф. 10 % конт.п/пропилен. 250 мл Рестер ЗАО	280
23064	Глюкоза р-р д/инф. 5 % конт.п/пропилен. 500 мл Рестер ЗАО	280
23069	Глюкоза р-р д/инф. 5 % конт.п/пропилен. 250 мл Рестер ЗАО	280
23207	Глюкозы раствор для инфузий 5% р-р д/ин. 5 % фл.д/кровезам. 400 мл Биохимик	280
23238	Глюкозы таблетки табл. 0,5 г уп.контурн.б/яч. 10 Ай Си Эн Томскхимфарм	205
23654	Горца перечного (Перца водяного) трава трава кор. 50 г Техмедсервис	173
23692	Горца почечуйного трава (Почечуйная трава) трава пак.бум. 50 г пач.картон. 1 Техмедсервис	173
23721	Горца птичьего (Спорыша) трава трава пак.бум. 50 г пач.картон. 1 Красногорсклексредства	242
24054	Гриппостад Рино капли наз. 0,1 % фл.темн.стекл. 10 мл пач.картон. 1 Stada Arzneimittel	234
24055	Гриппостад Рино капли наз.детск. 0,05 % фл.темн.стекл. 10 мл пач.картон. 1 Stada Arzneimittel	234
24056	Гриппостад Рино спрей наз. 0,1 % фл.с расп. 10 мл пач.картон. 1 Stada Arzneimittel	234
24061	Гриппферон капли наз. 10000 МЕ/мл фл.-кап. 10 мл кор. 1 Фирн М	33
24256	Губка гемостатическая коллагеновая губка 10х10 см уп.стер.герм. 1 Белкозин	173
24573	Де-Нол табл. 120 мг бл. 8 кор. 7 Yamanouchi	227
